,Headline,Day,Date,Timings
5167,madurai today,Thursday,2012-02-09,"['7.30 p.m.', '8 a.m.', '6.30 p.m.', '6 p.m.', '5.30 a.m.', '8.45 a.m.', '6 p.m.', '7 p.m.', '5 p.m.', '6.30 p.m.', '5.30 p.m.', '6.30 p.m.', '6.30 p.m.', '6.30 p.m.', '6 a.m.', '6.15 p.m.', '6.30 a.m.', '5.30 p.m.', '6 a.m.', '10.30 a.m.', '5 p.m.', '6 a.m.', '6.30 a.m.', '6.30 a.m.', '6.45 p.m.', '8 p.m.', '6 p.m.', '10 a.m.', '10 a.m.', '10 a.m.', '11 a.m.', '2.30 p.m.', '10 a.m.', '11 a.m.', '11 a.m.', '9.30 a.m.', '5 p.m.', '10 a.m.', '2.30 p.m.', '10.30 a.m.', '6 a.m.', '4.15 p.m.', '10.45 a.m.', '2 p.m.', '4 p.m,', '3 p.m.', '2 p.m.', '7 p.m.']"
5168,chennai today,Thursday,2012-02-09,['7 p.m.']
5169,In the capital today,Wednesday,2012-02-08,['7 p.m.']
5170,chennai today,Wednesday,2012-02-08,['7 p.m.']
5171,Engagements,Wednesday,2012-02-08,"['7 p.m.', '9.30 a.m.']"
5172,Engagements,Tuesday,2012-02-07,"['7 p.m.', '4.30 a.m.', '6 a.m.', '7.30 a.m.', '10 a.m.', '6.30 p.m.']"
5173,chennai today,Tuesday,2012-02-07,"['6 p.m.', '7 p.m.']"
5174,chennai today,Tuesday,2012-02-07,"['6 p.m.', '7 p.m.']"
5175,In the capital today,Monday,2012-02-06,['7 p.m.']
5176,chennai today,Monday,2012-02-06,"['6.30 p.m.', '7 p.m.']"
5177,Madurai today,Monday,2012-02-06,['7 p.m.']
5178,madurai today,Sunday,2012-02-05,"['4.30 p.m.', '7.30 a.m.', '4 p.m.', '7 a.m.', '7 p.m.', '5.45 p.m.', '6.30 p.m.', '5.15 p.m.', '4.30 p.m.', '9.05 a.m.', '6.45 p.m.', '10 a.m.', '5.30 a.m.', '7.45 a.m.', '10 a.m.', '6.15 p.m.', '8 a.m.', '10 a.m.', '6.30 p.m.', '8 p.m.', '5 a.m.', '7 a.m.', '10.30 a.m.', '6 p.m.', '10 a.m.', '6 p.m.', '9 a.m.', '6.30 a.m.', '5.30 p.m.', '6 a.m.', '10.30 a.m.', '5 p.m.', '7.30 a.m.', '5.30 p.m.', '7.30 a.m.', '6.30 a.m.', '6 a.m.', '7 p.m.', '6.30 a.m.', '6.45 p.m.', '8 p.m.', '6 p.m.', '6 p.m.', '9 a.m.', '10 a.m.', '10 a.m.', '10.32 a.m.', '10 a.m.', '10 a.m.', '9.30 a.m.', '10.30 a.m.', '11 a.m.', '9.30 a.m.', '7 p.m.']"
5179,Engagements,Sunday,2012-02-05,"['6.30 p.m.', '10 a.m.', '4 p.m.', '6.30 p.m.']"
