,Headline,Day,Date,Timings
0,"Engagements for Sunday, March 31",Sunday,2019-03-31,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
1,Chennai Today,Saturday,2019-03-30,['7 p.m.']
2,Madurai Today,Saturday,2019-03-30,['7 p.m.']
3,engagements,Saturday,2019-03-30,"['7 p.m.', '5 p.m.', '10.30 a.m.', '5 p.m.', '10 a.m.']"
4,CHENNAI TODAY,Friday,2019-03-29,['7 p.m.']
5,engagements,Friday,2019-03-29,"['4 p.m.', '7 p.m.', '10 a.m.']"
6,"Madurai Today-March 29, 2019",Friday,2019-03-29,['7 p.m.']
7,"Madurai Today-March 29, 2019",Thursday,2019-03-28,['7 p.m.']
8,CHENNAI TODAY,Thursday,2019-03-28,['7 p.m.']
9,engagements,Thursday,2019-03-28,"['10 a.m.', '10.30 a.m.', '7 p.m.', '10.30 a.m.']"
10,"Engagements for Wednesday, March 27",Wednesday,2019-03-27,['7 p.m.']
11,Madurai Today,Wednesday,2019-03-27,"['6.30 p.m.', '7 p.m.']"
12,"Engagements for Sunday, March 31",Sunday,2019-03-31,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
13,Chennai Today,Saturday,2019-03-30,['7 p.m.']
14,Madurai Today,Saturday,2019-03-30,['7 p.m.']
15,engagements,Saturday,2019-03-30,"['7 p.m.', '5 p.m.', '10.30 a.m.', '5 p.m.', '10 a.m.']"
16,CHENNAI TODAY,Friday,2019-03-29,['7 p.m.']
17,"Madurai Today-March 29, 2019",Friday,2019-03-29,['7 p.m.']
18,engagements,Friday,2019-03-29,"['4 p.m.', '7 p.m.', '10 a.m.']"
19,"Madurai Today-March 29, 2019",Thursday,2019-03-28,['7 p.m.']
20,CHENNAI TODAY,Thursday,2019-03-28,['7 p.m.']
21,engagements,Thursday,2019-03-28,"['10 a.m.', '10.30 a.m.', '7 p.m.', '10.30 a.m.']"
22,"Engagements for Wednesday, March 27",Wednesday,2019-03-27,['7 p.m.']
23,Madurai Today,Wednesday,2019-03-27,"['6.30 p.m.', '7 p.m.']"
24,CHENNAI TODAY,Tuesday,2019-03-26,['7 p.m.']
25,Madurai Today for March 26 Tuesday,Tuesday,2019-03-26,['7 p.m.']
26,engagements,Tuesday,2019-03-26,"['10 a.m.', '11.15 a.m.', '5 p.m.', '6.30 p.m.', '7 p.m.']"
27,Madurai Today for March 26 Tuesday,Monday,2019-03-25,['7 p.m.']
28,"Engagements for Monday, March 25",Monday,2019-03-25,"['6.30 p.m.', '7 p.m.']"
29,Madurai Today,Monday,2019-03-25,"['7 a.m.', '7 p.m.']"
30,"Engagements for March 24, Sunday",Sunday,2019-03-24,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
31,Madurai Today,Sunday,2019-03-24,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
32,"Engagements for Saturday, March 23",Saturday,2019-03-23,['7 p.m.']
33,Madurai Today,Saturday,2019-03-23,['7 p.m.']
34,Engagements -Tirunelveli Region,Saturday,2019-03-23,"['9.30 a.m.', '10 a.m.', '10 a.m.', '4 p.m.']"
35,Engagements -Tirunelveli Region,Friday,2019-03-22,"['9.30 a.m.', '10 a.m.', '10 a.m.']"
36,"Engagements for Friday, March 22",Friday,2019-03-22,['7 p.m.']
37,Madurai Today - March 22,Friday,2019-03-22,['7 p.m.']
38,Madurai Today - March 22,Thursday,2019-03-21,['7 p.m.']
39,Madurai Today,Thursday,2019-03-21,['7 p.m.']
40,Engagements - Tirunelveli region - March 21,Thursday,2019-03-21,"['7 p.m.', '5.30 p.m.']"
41,CHENNAI TODAY,Wednesday,2019-03-20,['7 p.m.']
42,Engagements - Tirunelveli region - March 21,Wednesday,2019-03-20,"['7 p.m.', '5.30 p.m.']"
43,Madurai Today,Wednesday,2019-03-20,"['6.30 p.m.', '7 p.m.']"
44,CHENNAI TODAY,Tuesday,2019-03-19,['7 p.m.']
45,Madurai Today,Tuesday,2019-03-19,"['6.30 p.m.', '7 p.m.']"
46,Madurai Today,Monday,2019-03-18,"['6.30 p.m.', '7 p.m.']"
47,Chennai Today,Monday,2019-03-18,"['6.30 p.m.', '7 p.m.']"
48,Madurai Today - March 18,Monday,2019-03-18,"['7 a.m.', '7 p.m.']"
49,CHENNAI TODAY - The Hindu,Sunday,2019-03-17,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
50,Madurai today for Mar 17 Sunday,Sunday,2019-03-17,"['11 a.m.', '7 p.m.']"
51,Engagements,Sunday,2019-03-17,['7 p.m.']
52,Chennai Today,Saturday,2019-03-16,['7 p.m.']
53,Madurai Today,Saturday,2019-03-16,['7 p.m.']
54,Engagaments for Friday,Friday,2019-03-15,['7 p.m.']
55,Madurai Today,Thursday,2019-03-14,['7 p.m.']
56,Chennai Today,Wednesday,2019-03-13,"['11 a.m.', '6.30 p.m.', '6.45 p.m.', '6 p.m.', '10.30 a.m.', '10.30 a.m.', '5 p.m.', '4 p.m.', '6 p.m.', '9.30 a.m.', '10 a.m.', '7 p.m.', '7 p.m.', '7 p.m.']"
57,Madurai today for Mar 13 Wednesday,Wednesday,2019-03-13,['7 p.m.']
58,engagements,Wednesday,2019-03-13,"['9.30 a.m.', '4.15 p.m.', '5.30 p.m.', '4.30 p.m.', '7 p.m.', '11 a.m.']"
59,Madurai Today,Tuesday,2019-03-12,"['6.30 p.m.', '7 p.m.']"
60,10MARDHR01 CHENNAI TODAY,Monday,2019-03-11,"['6.30 p.m.', '7 p.m.']"
61,Madurai Today for March 11,Monday,2019-03-11,"['7 a.m.', '7 p.m.', '7 p.m.']"
62,Madurai Today for March 11,Sunday,2019-03-10,"['7 a.m.', '7 p.m.', '7 p.m.']"
63,Madurai Today,Sunday,2019-03-10,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
64,CHENNAI TODAY,Saturday,2019-03-09,['7 p.m.']
65,Madurai Today,Saturday,2019-03-09,['7 p.m.']
66,engagements,Saturday,2019-03-09,"['4.30 p.m.', '7 p.m.', '10 a.m.', '5.30 p.m.', '2.30 p.m.']"
67,"Engagements for Friday, March 8",Friday,2019-03-08,['7 p.m.']
68,Madurai Today,Friday,2019-03-08,"['6.30 p.m.', '7 p.m.']"
69,engagements,Friday,2019-03-08,"['2.30 p.m.', '11 a.m.', '7 p.m.', '10 a.m.', '10 a.m.', '8 a.m.', '10 a.m.', '5.30 p.m.']"
70,Chennai today,Thursday,2019-03-07,['7 p.m.']
71,Madurai Today,Thursday,2019-03-07,['7 p.m.']
72,engagements,Thursday,2019-03-07,"['7 p.m.', '10 a.m.']"
73,Madurai Today,Wednesday,2019-03-06,"['6.30 p.m.', '7 p.m.']"
74,engagements,Wednesday,2019-03-06,"['10.30 a.m.', '7 p.m.']"
75,Madurai today,Tuesday,2019-03-05,"['6.30 p.m.', '7 p.m.']"
76,engagements,Tuesday,2019-03-05,"['7 p.m.', '11 a.m.']"
77,Chennai Today,Monday,2019-03-04,"['6.30 p.m.', '7 p.m.']"
78,Madurai Today,Monday,2019-03-04,"['7 a.m.', '7 p.m.']"
79,Engagements,Sunday,2019-03-03,['7 p.m.']
80,Engagements for March 2 and 3,Saturday,2019-03-02,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
81,Madurai Today,Saturday,2019-03-02,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
82,Engagements for March 1,Friday,2019-03-01,['7 p.m.']
83,Madurai Today,Friday,2019-03-01,"['6.30 p.m.', '7 p.m.']"
84,Madurai Today,Thursday,2019-02-28,['7 p.m.']
85,engagements,Thursday,2019-02-28,"['9.30 a.m.', '7 p.m.', '9.30 a.m.', '5.15 p.m.']"
86,Madurai Today,Wednesday,2019-02-27,"['6.30 p.m.', '7 p.m.']"
87,engagements,Wednesday,2019-02-27,"['7 p.m.', '10 a.m.', '11 a.m.', '4 p.m.']"
88,Madurai Today,Tuesday,2019-02-26,"['6.30 p.m.', '7 p.m.']"
89,Engagements for February 25,Monday,2019-02-25,['7 p.m.']
90,Madurai Today,Saturday,2019-02-23,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
91,Madurai Today,Friday,2019-02-22,"['6.30 p.m.', '7 p.m.']"
92,engagements,Friday,2019-02-22,"['9.30 a.m.', '10.30 a.m.', '7 p.m.', '3.50 p.m.']"
93,Madurai Today,Thursday,2019-02-21,['7 p.m.']
94,engagements,Thursday,2019-02-21,"['7 p.m.', '11 a.m.', '10.45 a.m.']"
95,MRR/CHENNAI TODAY FOR FEBRUARY 20 (WEDNESDAY) FOR CHENNAI CITY FOR PAGE 4,Wednesday,2019-02-20,"['6.30 p.m.', '6.30 p.m.', '10.30 a.m.', '6.30 p.m.', '5 p.m.', '11.30 a.m.', '9 a.m.', '11 a.m.', '4 p.m.', '10 a.m.', '4 p.m.', '10.30 a.m.', '9 a.m.', '10 a.m.', '1.30 p.m.', '7 p.m.', '7 p.m.', '7 p.m.']"
96,Madurai Today,Wednesday,2019-02-20,"['6.30 p.m.', '7 p.m.']"
97,Madurai Today,Tuesday,2019-02-19,"['6.30 p.m.', '7 p.m.']"
98,engagements,Tuesday,2019-02-19,"['10.30 a.m.', '9.30 a.m.', '4 p.m.', '7 p.m.']"
99,Chennai Today,Monday,2019-02-18,['7 p.m.']
100,Madurai today,Monday,2019-02-18,"['7 a.m.', '7 p.m.']"
101,Engagements for February 18,Sunday,2019-02-17,"['6.30 p.m.', '7 p.m.']"
102,Madurai Today,Saturday,2019-02-16,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
103,Engagements for February 15,Friday,2019-02-15,['7 p.m.']
104,Madurai Today,Friday,2019-02-15,"['6.30 p.m.', '7 p.m.']"
105,engagements,Friday,2019-02-15,"['7 p.m.', '9 a.m.']"
106,Engagements for February 14,Thursday,2019-02-14,['7 p.m.']
107,Madurai Today,Thursday,2019-02-14,['7 p.m.']
108,engagements,Thursday,2019-02-14,"['10 a.m.', '11.15 a.m.', '3.30 p.m.', '7 p.m.', '9 a.m.']"
109,Madurai Today,Wednesday,2019-02-13,"['6.30 p.m.', '7 p.m.']"
110,Madurai Today,Tuesday,2019-02-12,"['6.30 p.m.', '7 p.m.']"
111,engagements,Tuesday,2019-02-12,"['7 p.m.', '11 a.m.', '4.30 a.m.', '6 a.m.', '7.30 a.m.', '10 a.m.', '11.30 a.m.', '6 p.m.', '10.15 a.m.']"
112,Chennai Today,Monday,2019-02-11,['7 p.m.']
113,Chennai Today,Monday,2019-02-11,['7 p.m.']
114,Madurai today,Monday,2019-02-11,"['7 a.m.', '7 p.m.']"
115,Madurai Today,Saturday,2019-02-09,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
116,CHENNAI TODAY - The Hindu,Friday,2019-02-08,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
117,Madurai Today,Friday,2019-02-08,['7 p.m.']
118,engagements,Friday,2019-02-08,"['11 a.m.', '7 p.m.', '1 p.m.', '6 a.m.', '6 p.m.', '9.30 a.m.']"
119,CHENNAI TODAY,Thursday,2019-02-07,['7 p.m.']
120,MADURAI TODAY,Thursday,2019-02-07,['7 p.m.']
121,engagements,Thursday,2019-02-07,"['7 p.m.', '6 a.m.', '6 p.m.', '10 a.m.']"
122,Madurai Today,Wednesday,2019-02-06,"['6.30 p.m.', '7 p.m.']"
123,CHENNAI TODAY,Tuesday,2019-02-05,"['6.30 p.m.', '6.45 p.m.', '6.30 p.m.', '6 p.m.', '10.30 a.m.', '5.30 p.m.', '9 a.m.', '10.30 a.m.', '11 a.m.', '10.30 a.m.', '6 p.m.', '7 p.m\r', '7 p.m.', '7 p.m.']"
124,Madurai today for Feb 5,Tuesday,2019-02-05,['7 p.m.']
125,03FEBDHR01 CHENNAI TODAY,Monday,2019-02-04,"['6.30 p.m.', '7 p.m.']"
126,madurai today for feb 4,Monday,2019-02-04,"['7 a.m.', '7 p.m.']"
127,"Engagements in Chennai - February 2, 3, 2019",Saturday,2019-02-02,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
128,Madurai Today,Saturday,2019-02-02,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
129,Madurai Today,Friday,2019-02-01,"['6.30 p.m.', '7 p.m.']"
130,CHENNAI TODAY - The Hindu,Thursday,2019-01-31,['7 p.m.']
131,Chennai today,Thursday,2019-01-31,['7 p.m.']
132,Madurai Today,Thursday,2019-01-31,['7 p.m.']
133,enGAGEMENTS,Thursday,2019-01-31,"['10 a.m.', '4.30 p.m.', '7 p.m.']"
134,"Engagements in Chennai - January 30, 2019",Wednesday,2019-01-30,['7 p.m.']
135,Madurai Today,Wednesday,2019-01-30,"['6.30 p.m.', '7 p.m.']"
136,engagements,Wednesday,2019-01-30,"['7 p.m.', '8.30 a.m.', '10 a.m.']"
137,Chennai Today,Tuesday,2019-01-29,"['4.30 p.m.', '6.30 p.m.', '2.30 p.m.', '4 p.m.', '5.30 p.m.', '5 p.m.', '10 a.m.', '4.30 p.m.', '11 a.m.', '9.30 a.m.', '9 a.m.', '10 a.m.', '2 p.m.', '3.45 p.m.', '8.30 a.m.', '9.15 a.m.', '2.30 p.m.', '10.30 a.m.', '7 p.m\r', '7 p.m.', '7 p.m.']"
138,Madurai Today,Tuesday,2019-01-29,"['6.30 p.m.', '7 p.m.']"
139,Madurai today for Jan 28 Monday,Monday,2019-01-28,"['7 a.m.', '7 p.m.']"
140,CHENNAI TODAY,Saturday,2019-01-26,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
141,Madurai Today,Saturday,2019-01-26,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
142,Madurai Today,Friday,2019-01-25,"['6.30 p.m.', '7 p.m.']"
143,Madurai Today,Thursday,2019-01-24,['7 p.m.']
144,MRR/CHENNAI TODAY FOR JANUARY 23 (WEDNESDAY) FOR CHENNAI CITY FOR PAGE 4,Wednesday,2019-01-23,"['6.30 p.m.', '6.30 p.m.', '11 a.m.', '6.45 p.m.', '10 a.m.', '10 a.m.', '9 a.m.', '9.30 a.m.', '9 a.m.', '9 a.m.', '11.15 a.m.', '5 p.m.', '4.30 p.m.', '7 p.m.', '7 p.m.', '7 p.m.', '7 p.m.']"
145,Madurai Today,Wednesday,2019-01-23,"['6.30 p.m.', '7 p.m.']"
146,Madurai Today,Tuesday,2019-01-22,"['6.30 p.m.', '7 p.m.']"
147,engagements,Tuesday,2019-01-22,"['5.30 p.m.', '7 p.m.', '7 p.m.']"
148,Chennai Today,Monday,2019-01-21,['7 p.m.']
149,20JANSTS01_Engagements,Monday,2019-01-21,"['6.30 p.m.', '7 p.m.']"
150,Madurai today,Monday,2019-01-21,"['7 a.m.', '7 p.m.']"
151,Chennai Today,Saturday,2019-01-19,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
152,Madurai Today,Friday,2019-01-18,"['6.30 p.m.', '7 p.m.']"
153,engagements,Friday,2019-01-18,"['7 p.m.', '11 a.m.', '5 p.m.']"
154,Madurai Today,Thursday,2019-01-17,['7 p.m.']
155,Madurai Today,Tuesday,2019-01-15,"['6.30 p.m.', '7 p.m.']"
156,13JANAXL01_Chennai Today,Monday,2019-01-14,['6.30 p.m.']
157,Madurai today,Monday,2019-01-14,"['7 a.m.', '7 p.m.']"
158,Madurai Today,Saturday,2019-01-12,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
159,CHENNAI TODAY,Friday,2019-01-11,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
160,CHENNAI TODAY,Friday,2019-01-11,['7 p.m.']
161,Madurai Today,Friday,2019-01-11,['7 p.m.']
162,Chennai Today,Thursday,2019-01-10,['7 p.m.']
163,CHENNAI TODAY,Wednesday,2019-01-09,['7 p.m.']
164,Madurai Today,Wednesday,2019-01-09,"['6.30 p.m.', '7 p.m.']"
165,Madurai Today,Tuesday,2019-01-08,"['6.30 p.m.', '7 p.m.']"
166,engagements,Tuesday,2019-01-08,"['10.30 a.m.', '7 p.m.', '7 p.m.']"
167,Chennai Today,Monday,2019-01-07,['7 p.m.']
168,Chennai Today,Monday,2019-01-07,"['6.30 p.m.', '7 p.m.']"
169,Madurai today,Monday,2019-01-07,"['7 a.m.', '7 p.m.']"
170,Chennai Engagements today,Saturday,2019-01-05,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
171,Madurai Today,Saturday,2019-01-05,"['9.30 a.m.', '11 a.m.', '6.30 p.m.', '7 p.m.']"
172,Madurai Today,Friday,2019-01-04,"['6.30 p.m.', '7 p.m.']"
173,engagements,Friday,2019-01-04,"['7 p.m.', '11 a.m.', '10 a.m.']"
174,CHENNAI TODAY,Thursday,2019-01-03,['7 p.m.']
175,Madurai Today,Thursday,2019-01-03,['7 p.m.']
176,Long history of nuns abused by priests in India: an AP investigation,Wednesday,2019-01-02,[]
177,Chennai Today,Wednesday,2019-01-02,['7 p.m.']
178,Chennai Today,Wednesday,2019-01-02,['7 p.m.']
179,Madurai Today,Wednesday,2019-01-02,"['6.30 p.m.', '7 p.m.']"
180,Madurai Today,Tuesday,2019-01-01,"['6.30 p.m.', '7 p.m.']"
181,31DECDHR01 CHENNAI TODAY,Tuesday,2019-01-01,['7 p.m.']
182,"CHENNAI TODAY FOR 31, DEC.2018 (MONDAY)",Monday,2018-12-31,"['6.30 p.m.', '7 p.m.']"
183,Madurai Today,Monday,2018-12-31,"['7 a.m.', '7 p.m.']"
184,CHENNAI TODAY,Saturday,2018-12-29,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
185,Madurai Today,Saturday,2018-12-29,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
186,CHENNAI TODAY,Friday,2018-12-28,['7 p.m.']
187,Madurai Today,Friday,2018-12-28,"['6.30 p.m.', '7 p.m.']"
188,Madurai Today,Thursday,2018-12-27,['7 p.m.']
189,CHENNAI TODAY,Tuesday,2018-12-25,['7 p.m.']
190,CHENNAI TODAY,Tuesday,2018-12-25,['7 p.m.']
191,Madurai Today,Tuesday,2018-12-25,"['6.30 p.m.', '7 p.m.']"
192,Chennai Today,Monday,2018-12-24,['7 p.m.']
193,Madurai today,Monday,2018-12-24,"['7 a.m.', '7 p.m.']"
194,Chennai Today,Monday,2018-12-24,['7 p.m.']
195,Engagements for Saturday and Sunday,Saturday,2018-12-22,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
196,engagements,Saturday,2018-12-22,"['11 a.m.', '7 p.m.']"
197,CHENNAI TODAY,Friday,2018-12-21,['7 p.m.']
198,MADURAI TODAY,Friday,2018-12-21,['7 p.m.']
199,Madurai today for Dec 20 Thursday,Thursday,2018-12-20,['7 p.m.']
200,engagements,Thursday,2018-12-20,"['9 a.m.', '7 p.m.', '10 a.m.', '11 a.m.']"
201,MADURAI TODAY,Wednesday,2018-12-19,['7 p.m.']
202,Chennai Today,Tuesday,2018-12-18,['7 p.m.']
203,Madurai today,Tuesday,2018-12-18,"['6.30 p.m.', '7 p.m.']"
204,Engagements,Tuesday,2018-12-18,"['10.30 a.m.', '7 p.m.', '11 a.m.', '9 a.m.']"
205,Madurai today,Monday,2018-12-17,"['7 a.m.', '7 p.m.']"
206,"Engagements in Chennai on December 15, 2018",Saturday,2018-12-15,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
207,Madurai Today,Saturday,2018-12-15,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
208,CHENNAI TODAY,Friday,2018-12-14,['7 p.m.']
209,engagements,Friday,2018-12-14,"['11 a.m.', '7 p.m.', '11 a.m.']"
210,Madurai Today,Friday,2018-12-14,"['6.30 p.m.', '7 p.m.']"
211,Madurai Today,Thursday,2018-12-13,['7 p.m.']
212,engagements,Thursday,2018-12-13,"['7 p.m.', '10 a.m.']"
213,"Engagements in Chennai on December 13, 2018",Wednesday,2018-12-12,['7 p.m.']
214,"Engagements in Chennai on December 12, 2018",Wednesday,2018-12-12,['7 p.m.']
215,Madurai Today,Wednesday,2018-12-12,"['6.30 p.m.', '7 p.m.']"
216,engagements,Wednesday,2018-12-12,"['11.30 a.m.', '9 a.m.', '7 p.m.']"
217,Chennai Today,Tuesday,2018-12-11,['7 p.m.']
218,Madurai Today,Tuesday,2018-12-11,"['6.30 p.m.', '7 p.m.']"
219,Madurai Today,Monday,2018-12-10,"['7 a.m.', '7 p.m.']"
220,Madurai Today,Saturday,2018-12-08,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
221,Madurai Today,Friday,2018-12-07,"['6.30 p.m.', '7 p.m.']"
222,CHENNAI TODAY,Thursday,2018-12-06,['7 p.m.']
223,MADURAI TODAY,Thursday,2018-12-06,['7 p.m.']
224,engagements,Thursday,2018-12-06,"['6.30 a.m.', '7 p.m.']"
225,Madurai Today,Wednesday,2018-12-05,"['6.30 p.m.', '7 p.m.']"
226,Chennai Today,Tuesday,2018-12-04,"['4.30 p.m.', '6.30 p.m.', '6 p.m.', '5 p.m.', '9.30 a.m.', '11.30 a.m.', '10.30 a.m.', '7 p.m\r', '7 p.m.', '7 p.m.']"
227,Madurai Today,Tuesday,2018-12-04,"['6.30 p.m.', '7 p.m.']"
228,Madurai today for December 3,Monday,2018-12-03,"['7 a.m.', '7 p.m.']"
229,Madurai Today,Saturday,2018-12-01,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
230,engagement,Saturday,2018-12-01,"['10 a.m.', '1 p.m.', '7 p.m.']"
231,Madurai Today,Friday,2018-11-30,"['6.30 p.m.', '7 p.m.']"
232,CHENNAI TODAY,Thursday,2018-11-29,['7 p.m.']
233,Madurai Today,Wednesday,2018-11-28,"['6.30 p.m.', '7 p.m.']"
234,Chennai Today,Tuesday,2018-11-27,['7 p.m.']
235,engagements,Tuesday,2018-11-27,"['10.30 a.m.', '7 p.m.', '2 p.m.']"
236,CHENNAI TODAY,Monday,2018-11-26,"['6.30 p.m.', '7 p.m.']"
237,Madurai Today,Monday,2018-11-26,"['7 a.m.', '7 p.m.']"
238,Madurai Today,Saturday,2018-11-24,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
239,Madurai Today,Friday,2018-11-23,"['6.30 p.m.', '7 p.m.']"
240,Chennai Today,Thursday,2018-11-22,['7 p.m.']
241,Madurai Today,Thursday,2018-11-22,['7 p.m.']
242,Chennai today,Wednesday,2018-11-21,['7 p.m.']
243,Madurai Today,Wednesday,2018-11-21,"['6.30 p.m.', '7 p.m.']"
244,Madurai Today,Tuesday,2018-11-20,"['6.30 p.m.', '7 p.m.']"
245,engagements,Tuesday,2018-11-20,"['9.30 a.m.', '10 a.m.', '4.15 p.m.', '7 p.m.']"
246,Chennai Today,Monday,2018-11-19,['7 p.m.']
247,Chennai Today,Monday,2018-11-19,"['6.30 p.m.', '7 p.m.']"
248,MADURA TODAY,Monday,2018-11-19,"['7 a.m.', '7 p.m.', '7 p.m.']"
249,Chennai Today,Sunday,2018-11-18,"['6.30 p.m.', '7 p.m.']"
250,Chennai Today,Saturday,2018-11-17,"['10 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 p.m.', '11 a.m;', '3 p.m;', '6 p.m;', '7 p.m.', '11 a.m.', '7 p.m.']"
251,Madurai Today,Saturday,2018-11-17,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
252,Madurai Today,Friday,2018-11-16,"['6.30 p.m.', '7 p.m.']"
253,engagements,Friday,2018-11-16,"['9.15 a.m.', '6 p.m.', '8 a.m.', '10 a.m.', '7 p.m.']"
254,Madurai Today,Thursday,2018-11-15,['7 p.m.']
255,Madurai Today,Wednesday,2018-11-14,"['6.30 p.m.', '7 p.m.']"
256,12NOVAXL01_Chennai Today,Tuesday,2018-11-13,['7 p.m.']
257,Madurai Today,Tuesday,2018-11-13,"['6.30 p.m.', '7 p.m.']"
258,CHENNAI TODAY,Monday,2018-11-12,['7 p.m.']
259,Madurai Today,Monday,2018-11-12,"['7 a.m.', '7 p.m.']"
260,Chennai Today,Saturday,2018-11-10,"['10.30 a.m.', '11 a.m.', '6 p.m.', '7 p.m.']"
261,Madurai Today,Saturday,2018-11-10,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
262,Madurai Today,Friday,2018-11-09,"['6.30 p.m.', '7 p.m.']"
263,engagements,Friday,2018-11-09,"['7 a.m.', '12.45 p.m.', '4 p.m.', '7 p.m.', '10.30 a.m.']"
264,Chennai Today,Thursday,2018-11-08,"['6.45 p.m.', '7.05 p.m.', '6.30 p.m.', '6.15 p.m.', '6 p.m.', '9 a.m.', '6.30 p.m.', '10 a.m.', '5 p.m.', '7 p.m.', '7 p.m.', '7 p.m.']"
265,Madurai Today,Thursday,2018-11-08,['7 p.m.']
266,engagements,Thursday,2018-11-08,"['7 p.m.', '7.30 a.m.', '12.45 p.m.', '4 p.m.']"
267,Madurai Today,Tuesday,2018-11-06,"['6.30 p.m.', '7 p.m.']"
268,Madurai today for Nov 5,Monday,2018-11-05,"['7 a.m.', '7 p.m.']"
269,Madurai Today,Saturday,2018-11-03,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
270,CHENNAI TODAY,Friday,2018-11-02,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
271,Madurai Today,Friday,2018-11-02,"['6.30 p.m.', '7 p.m.']"
272,engagements,Friday,2018-11-02,"['10 a.m.', '7 p.m.', '11 a.m.']"
273,CHENNAI TODAY,Thursday,2018-11-01,['7 p.m.']
274,Madurai Today,Thursday,2018-11-01,"['7 p.m.', '6 p.m.']"
275,engagements,Thursday,2018-11-01,"['3 p.m.', '7 p.m.']"
276,Madurai Today,Wednesday,2018-10-31,"['6.30 p.m.', '7 p.m.']"
277,engagements,Wednesday,2018-10-31,"['2.15 p.m.', '7 p.m.', '6.30 a.m.', '9.45 a.m.', '6.30 a.m.']"
278,Chennai Today,Tuesday,2018-10-30,['7 p.m.']
279,Chennai Today,Tuesday,2018-10-30,['7 p.m.']
280,Madurai Today,Tuesday,2018-10-30,"['6.30 p.m.', '7 p.m.']"
281,engagements,Tuesday,2018-10-30,"['9.30 a.m.', '7 p.m.']"
282,Chennai Today,Monday,2018-10-29,['7 p.m.']
283,Madurai Today,Monday,2018-10-29,"['7 a.m.', '7 p.m.']"
284,Madurai Today,Saturday,2018-10-27,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
285,CHENNAI TODAY,Friday,2018-10-26,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
286,Mdu today for Oct 26 Friday,Friday,2018-10-26,['7 p.m.']
287,engagements,Friday,2018-10-26,"['9.30 a.m.', '7 p.m.']"
288,CHENNAI TODAY,Thursday,2018-10-25,['7 p.m.']
289,Madurai today for Oct 24 Wednesday,Wednesday,2018-10-24,['7 p.m.']
290,engagements,Wednesday,2018-10-24,"['7 p.m.', '10 a.m.']"
291,Chennai today,Tuesday,2018-10-23,['7 p.m.']
292,Madurai today for Oct 23 Tuesday,Tuesday,2018-10-23,['7 p.m.']
293,engagements,Tuesday,2018-10-23,"['7 p.m.', '11 a.m.', '12 p.m.']"
294,21OCTDHR01 CHENNAI TODAY,Monday,2018-10-22,"['6.30 p.m.', '7 p.m.']"
295,Madurai today for October 22,Monday,2018-10-22,"['7 a.m.', '7 p.m.']"
296,21OCTDHR01 CHENNAI TODAY,Monday,2018-10-22,"['6.30 p.m.', '7 p.m.']"
297,city engagement for Oct 20 Saturday,Saturday,2018-10-20,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
